Date	Category	Description	Payment method	Amount (INR)	Type	Balance after spend (INR)	Notes	Transaction ID	Loan ID
01-12-2025	Income	Salary credit	Bank Transfer	30,000	Income	30,023.34	Nov Salary	20250112-INC-KTK-0001	
01-12-2025	Transfer	Bank Kotak - Bank SBI Self Transfer	UPI (Google Pay)	10,000	Expense	20,023.34	GPay Self Transfer	20250112-TRA-KTK-0002	
01-12-2025	Loan Given	Amount given to Father	UPI (Google Pay)	4,000.00	Lend	16,023.34	Will return in few days (Bajaj EMI)	20250112-LOA-KTK-0003	x-001
02-12-2025	Personal	Snacks / Personal Spend	UPI (Google Pay)	40	Expense	15,983.34	-	20250212-PER-KTK-0004	
02-12-2025	Loan Given	Amount given to Mummy 	ATM/CASH	500	Lend	15,483.34	Will return in few days (Home Expense)	20250212-LOA-KTK-0005	x-002
02-12-2025	Transfer 	Bank Kotak - Bank SBI Self Transfer	Bank Transfer 	7,500	Expense 	7,983.34	GPay Self Transfer 	20250212-TRA-KTK-0006	
02-12-2025	Loan Given 	Amount given to Father 	UPI (Google Pay)	1,070.00	Lend	6,913.34	Will return in few days (Personal)	20250212-LOA-KTK-0007	x-003
03-12-2025	Personal	Snacks / Personal Spend 	UPI (Google Pay)	30	Expense 	6,883.34	Spend on Crispello 	20250312-PER-KTK-0008	
04-12-2025	Personal 	Doctor 	UPI (Google Pay)	100	Health care 	6,783.34	Spend on health care	20250412-PER-KTK-0009	
04-12-2025	Personal	Snacks / Personal Spend 	UPI (Google Pay)	50	Expense 	6,733.34	Spend on samosa	20250412-PER-KTK-0010	
05-12-2025	Personal	Medicines	UPI (Google Pay)	184	Health care 	6,549.34	Spend on Medicine (Mom)	20250512-PER-KTK-0011	
05-12-2025	Personal	Snacks / Personal Spend 	UPI (Google Pay)	10	Expense	6,539.34	Spend on chocalates (Avni)	20250512-PER-KTK-0012	
05-12-2025	Home	Snacks / Milk etc 	UPI (Google Pay)	100	Expense 	6,439.34	Spend on milk, biscuits , snacks etc	20250512-HOM-KTK-0013	
06-12-2025	Personal	Nothing	ATM/CASH	0	Nothing	6,439.34	No transaction happne	20250612-PER-KTK-0014	
07-12-2025	Personal 	Travel (Fuel)	UPI (Google Pay)	100	Expense 	6,339.34	Sent money to Armaan for fuel	20250712-PER-KTK-0015	
07-12-2025	Home	Snacks / Milk etc	UPI (Google Pay)	64	Expense 	6,275.34	Spend on milk, biscuits , snacks etc	20250712-HOM-KTK-0016	
07-12-2025	Loan Given 	Recharge amount 	UPI (Google Pay)	242	Lend	6,033.34	Father Recharge 	20250712-LOA-KTK-0017	x-004
07-12-2025	Lend Return 	Amount given to Father	UPI (Google Pay)	2,000	Lend	8,033.34	Return 50% money	20250712-LEN-KTK-0018	y-001
07-12-2025	Home Essentials 	Home essentials 	UPI (Google Pay)	5,000	Home essentials  	3,033.34	Home essentials 	20250712-HOM-KTK-0019	